last_name,first_name,middle_name,nickname,full_name,birthday,chamber,state,party,url,address,phone,contact_form
Fleischmann,Charles,J.,Chuck,"Charles J. ""Chuck"" Fleischmann",1962-10-11,rep,TN,Republican,https://fleischmann.house.gov,462 Cannon House Office Building Washington DC 20515-4203,202-225-3271,
Fortenberry,Jeff,Lane,,Jeff Fortenberry,1960-12-27,rep,NE,Republican,https://fortenberry.house.gov,1514 Longworth House Office Building Washington DC 20515-2701,202-225-4806,
Foxx,Virginia,,,Virginia Foxx,1943-06-29,rep,NC,Republican,https://foxx.house.gov,2462 Rayburn House Office Building Washington DC 20515-3305,202-225-2071,
Fudge,Marcia,L.,,Marcia L. Fudge,1952-10-29,rep,OH,Democrat,https://fudge.house.gov,2344 Rayburn House Office Building Washington DC 20515-3511,202-225-7032,
Garamendi,John,,,John Garamendi,1945-01-24,rep,CA,Democrat,https://garamendi.house.gov,2368 Rayburn House Office Building Washington DC 20515-0503,202-225-1880,
Gibbs,Bob,,,Bob Gibbs,1954-06-14,rep,OH,Republican,https://gibbs.house.gov,2217 Rayburn House Office Building Washington DC 20515-3507,202-225-6265,
Gohmert,Louie,B.,,Louie Gohmert,1953-08-18,rep,TX,Republican,https://gohmert.house.gov,2269 Rayburn House Office Building Washington DC 20515-4301,202-225-3035,
Gosar,Paul,A.,,Paul A. Gosar,1958-11-22,rep,AZ,Republican,https://gosar.house.gov,2057 Rayburn House Office Building Washington DC 20515-0304,202-225-2315,
Granger,Kay,,,Kay Granger,1943-01-18,rep,TX,Republican,https://kaygranger.house.gov,1026 Longworth House Office Building Washington DC 20515-4312,202-225-5071,
Grassley,Charles,E.,Chuck,Chuck Grassley,1933-09-17,sen,IA,Republican,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,202-224-3744,http://www.grassley.senate.gov/contact
Graves,Sam,B.,,Sam Graves,1963-11-07,rep,MO,Republican,https://graves.house.gov,1135 Longworth House Office Building Washington DC 20515-2506,202-225-7041,
Green,Al,,,Al Green,1947-09-01,rep,TX,Democrat,https://algreen.house.gov,2347 Rayburn House Office Building Washington DC 20515-4309,202-225-7508,
Griffith,H.,Morgan,,H. Morgan Griffith,1958-03-15,rep,VA,Republican,https://morgangriffith.house.gov,2202 Rayburn House Office Building Washington DC 20515-4609,202-225-3861,
Grijalva,Raúl,M.,,Raúl M. Grijalva,1948-02-19,rep,AZ,Democrat,https://grijalva.house.gov,1511 Longworth House Office Building Washington DC 20515-0303,202-225-2435,
Guthrie,Brett,,,Brett Guthrie,1964-02-18,rep,KY,Republican,https://guthrie.house.gov,2434 Rayburn House Office Building Washington DC 20515-1702,202-225-3501,
Harris,Andy,,,Andy Harris,1957-01-25,rep,MD,Republican,https://harris.house.gov,2334 Rayburn House Office Building Washington DC 20515-2001,202-225-5311,
Hartzler,Vicky,,,Vicky Hartzler,1960-10-13,rep,MO,Republican,https://hartzler.house.gov,2235 Rayburn House Office Building Washington DC 20515-2504,202-225-2876,
Hastings,Alcee,L.,,Alcee L. Hastings,1936-09-05,rep,FL,Democrat,https://alceehastings.house.gov,2365 Rayburn House Office Building Washington DC 20515-0920,202-225-1313,
Heinrich,Martin,,,Martin Heinrich,1971-10-17,sen,NM,Democrat,https://www.heinrich.senate.gov,303 Hart Senate Office Building Washington DC 20510,202-224-5521,http://www.heinrich.senate.gov/contact
Herrera Beutler,Jaime,,,Jaime Herrera Beutler,1978-11-03,rep,WA,Republican,https://jhb.house.gov,2352 Rayburn House Office Building Washington DC 20515-4703,202-225-3536,
Higgins,Brian,M.,,Brian Higgins,1959-10-06,rep,NY,Democrat,https://higgins.house.gov,2459 Rayburn House Office Building Washington DC 20515-3226,202-225-3306,
Himes,James,A.,,James A. Himes,1966-07-05,rep,CT,Democrat,https://himes.house.gov,2137 Rayburn House Office Building Washington DC 20515-0704,202-225-5541,
Hirono,Mazie,K.,,Mazie K. Hirono,1947-11-03,sen,HI,Democrat,https://www.hirono.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-6361,https://www.hirono.senate.gov/contact
Hoeven,John,,,John Hoeven,1957-03-13,sen,ND,Republican,https://www.hoeven.senate.gov,338 Russell Senate Office Building Washington DC 20510,202-224-2551,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator
Hoyer,Steny,H.,,Steny H. Hoyer,1939-06-14,rep,MD,Democrat,https://hoyer.house.gov,1705 Longworth House Office Building Washington DC 20515-2005,202-225-4131,
Huizenga,Bill,,,Bill Huizenga,1969-01-31,rep,MI,Republican,https://huizenga.house.gov,2232 Rayburn House Office Building Washington DC 20515-2202,202-225-4401,
Jackson Lee,Sheila,,,Sheila Jackson Lee,1950-01-12,rep,TX,Democrat,https://jacksonlee.house.gov,2426 Rayburn House Office Building Washington DC 20515-4318,202-225-3816,
Johnson,Bill,,,Bill Johnson,1954-11-10,rep,OH,Republican,https://billjohnson.house.gov,2336 Rayburn House Office Building Washington DC 20515-3506,202-225-5705,
Johnson,Eddie,Bernice,,Eddie Bernice Johnson,1935-12-03,rep,TX,Democrat,https://ebjohnson.house.gov,2306 Rayburn House Office Building Washington DC 20515-4330,202-225-8885,
Johnson,Henry,C.,Hank,"Henry C. ""Hank"" Johnson, Jr.",1954-10-02,rep,GA,Democrat,https://hankjohnson.house.gov,2240 Rayburn House Office Building Washington DC 20515-1004,202-225-1605,
Johnson,Ron,,,Ron Johnson,1955-04-08,sen,WI,Republican,https://www.ronjohnson.senate.gov,328 Hart Senate Office Building Washington DC 20510,202-224-5323,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator
Jordan,Jim,,,Jim Jordan,1964-02-17,rep,OH,Republican,https://jordan.house.gov,2056 Rayburn House Office Building Washington DC 20515-3504,202-225-2676,
Kaptur,Marcy,,,Marcy Kaptur,1946-06-17,rep,OH,Democrat,https://kaptur.house.gov,2186 Rayburn House Office Building Washington DC 20515-3509,202-225-4146,
Keating,William,R.,,William R. Keating,1952-09-06,rep,MA,Democrat,https://keating.house.gov,2351 Rayburn House Office Building Washington DC 20515-2109,202-225-3111,
Kelly,Mike,,,Mike Kelly,1948-05-10,rep,PA,Republican,https://kelly.house.gov,1707 Longworth House Office Building Washington DC 20515-3816,202-225-5406,
Kind,Ron,James,,Ron Kind,1963-03-16,rep,WI,Democrat,https://kind.house.gov,1502 Longworth House Office Building Washington DC 20515-4903,202-225-5506,
Kinzinger,Adam,,,Adam Kinzinger,1978-02-27,rep,IL,Republican,https://kinzinger.house.gov,2245 Rayburn House Office Building Washington DC 20515-1316,202-225-3635,
Lamborn,Doug,,,Doug Lamborn,1954-05-24,rep,CO,Republican,https://lamborn.house.gov,2371 Rayburn House Office Building Washington DC 20515-0605,202-225-4422,
Langevin,James,R.,Jim,James R. Langevin,1964-04-22,rep,RI,Democrat,https://langevin.house.gov,2077 Rayburn House Office Building Washington DC 20515-3902,202-225-2735,
Lankford,James,,,James Lankford,1968-03-04,sen,OK,Republican,https://www.lankford.senate.gov,316 Hart Senate Office Building Washington DC 20510,202-224-5754,http://www.lankford.senate.gov/contact/email
Larsen,Rick,,,Rick Larsen,1965-06-15,rep,WA,Democrat,https://larsen.house.gov,2163 Rayburn House Office Building Washington DC 20515-4702,202-225-2605,
Larson,John,B.,,John B. Larson,1948-07-22,rep,CT,Democrat,https://larson.house.gov,1501 Longworth House Office Building Washington DC 20515-0701,202-225-2265,
Latta,Robert,E.,,Robert E. Latta,1956-04-18,rep,OH,Republican,https://latta.house.gov,2467 Rayburn House Office Building Washington DC 20515-3505,202-225-6405,
Leahy,Patrick,J.,,Patrick J. Leahy,1940-03-31,sen,VT,Democrat,https://www.leahy.senate.gov,437 Russell Senate Office Building Washington DC 20510,202-224-4242,https://www.leahy.senate.gov/contact/
Lee,Barbara,,,Barbara Lee,1946-07-16,rep,CA,Democrat,https://lee.house.gov,2470 Rayburn House Office Building Washington DC 20515-0513,202-225-2661,
Lee,Mike,,,Mike Lee,1971-06-04,sen,UT,Republican,https://www.lee.senate.gov/public,361A Russell Senate Office Building Washington DC 20510,202-224-5444,https://www.lee.senate.gov/public/index.cfm/contact
Lofgren,Zoe,,,Zoe Lofgren,1947-12-21,rep,CA,Democrat,https://lofgren.house.gov,1401 Longworth House Office Building Washington DC 20515-0519,202-225-3072,
Long,Billy,,,Billy Long,1955-08-11,rep,MO,Republican,https://long.house.gov,2454 Rayburn House Office Building Washington DC 20515-2507,202-225-6536,
Lucas,Frank,D.,,Frank D. Lucas,1960-01-06,rep,OK,Republican,https://lucas.house.gov,2405 Rayburn House Office Building Washington DC 20515-3603,202-225-5565,
Luetkemeyer,Blaine,,,Blaine Luetkemeyer,1952-05-07,rep,MO,Republican,https://luetkemeyer.house.gov,2230 Rayburn House Office Building Washington DC 20515-2503,202-225-2956,
Luján,Ben,Ray,,Ben Ray Luján,1972-06-07,sen,NM,Democrat,https://www.lujan.senate.gov,B40C Dirksen Senate Office Building Washington DC 20510,202-224-6621,https://www.lujan.senate.gov
Lynch,Stephen,F.,,Stephen F. Lynch,1955-03-31,rep,MA,Democrat,https://lynch.house.gov,2109 Rayburn House Office Building Washington DC 20515-2108,202-225-8273,
Maloney,Carolyn,B.,,Carolyn B. Maloney,1946-02-19,rep,NY,Democrat,https://maloney.house.gov,2308 Rayburn House Office Building Washington DC 20515-3212,202-225-7944,
Markey,Edward,J.,Ed,Edward J. Markey,1946-07-11,sen,MA,Democrat,https://www.markey.senate.gov,255 Dirksen Senate Office Building Washington DC 20510,202-224-2742,https://www.markey.senate.gov/contact
Matsui,Doris,O.,,Doris O. Matsui,1944-09-25,rep,CA,Democrat,https://matsui.house.gov,2311 Rayburn House Office Building Washington DC 20515-0506,202-225-7163,
McCarthy,Kevin,,,Kevin McCarthy,1965-01-26,rep,CA,Republican,https://kevinmccarthy.house.gov,2468 Rayburn House Office Building Washington DC 20515-0523,202-225-2915,
McCaul,Michael,T.,,Michael T. McCaul,1962-01-14,rep,TX,Republican,https://mccaul.house.gov,2001 Rayburn House Office Building Washington DC 20515-4310,202-225-2401,
McClintock,Tom,,,Tom McClintock,1956-07-10,rep,CA,Republican,https://mcclintock.house.gov,2312 Rayburn House Office Building Washington DC 20515-0504,202-225-2511,
McCollum,Betty,Louise,,Betty McCollum,1954-07-12,rep,MN,Democrat,https://mccollum.house.gov,2256 Rayburn House Office Building Washington DC 20515-2304,202-225-6631,
McGovern,James,P.,Jim,James P. McGovern,1959-11-20,rep,MA,Democrat,https://mcgovern.house.gov,370 Cannon House Office Building Washington DC 20515-2102,202-225-6101,
McHenry,Patrick,T.,,Patrick T. McHenry,1975-10-22,rep,NC,Republican,https://mchenry.house.gov,2004 Rayburn House Office Building Washington DC 20515-3310,202-225-2576,
McKinley,David,B.,,David B. McKinley,1947-03-28,rep,WV,Republican,https://mckinley.house.gov,2239 Rayburn House Office Building Washington DC 20515-4801,202-225-4172,
Rodgers,Cathy,McMorris,,Cathy McMorris Rodgers,1969-05-22,rep,WA,Republican,https://mcmorris.house.gov,1035 Longworth House Office Building Washington DC 20515-4705,202-225-2006,
McNerney,Jerry,,,Jerry McNerney,1951-06-18,rep,CA,Democrat,https://mcnerney.house.gov,2265 Rayburn House Office Building Washington DC 20515-0509,202-225-1947,
Meeks,Gregory,W.,,Gregory W. Meeks,1953-09-25,rep,NY,Democrat,https://meeks.house.gov,2310 Rayburn House Office Building Washington DC 20515-3205,202-225-3461,
Moore,Gwen,,,Gwen Moore,1951-04-18,rep,WI,Democrat,https://gwenmoore.house.gov,2252 Rayburn House Office Building Washington DC 20515-4904,202-225-4572,
Moran,Jerry,,,Jerry Moran,1954-05-29,sen,KS,Republican,https://www.moran.senate.gov,521 Dirksen Senate Office Building Washington DC 20510,202-224-6521,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry
Murkowski,Lisa,A.,,Lisa Murkowski,1957-05-22,sen,AK,Republican,https://www.murkowski.senate.gov,522 Hart Senate Office Building Washington DC 20510,202-224-6665,https://www.murkowski.senate.gov/public/index.cfm/contact
Murphy,Christopher,S.,,Christopher Murphy,1973-08-03,sen,CT,Democrat,https://www.murphy.senate.gov,136 Hart Senate Office Building Washington DC 20510,202-224-4041,http://www.murphy.senate.gov/contact
Murray,Patty,,,Patty Murray,1950-10-11,sen,WA,Democrat,https://www.murray.senate.gov/public,154 Russell Senate Office Building Washington DC 20510,202-224-2621,http://www.murray.senate.gov/public/index.cfm/contactme
Nadler,Jerrold,L.,,Jerrold Nadler,1947-06-13,rep,NY,Democrat,https://nadler.house.gov,2132 Rayburn House Office Building Washington DC 20515-3210,202-225-5635,
Napolitano,Grace,F.,,Grace F. Napolitano,1936-12-04,rep,CA,Democrat,https://napolitano.house.gov,1610 Longworth House Office Building Washington DC 20515-0532,202-225-5256,
Neal,Richard,E.,,Richard E. Neal,1949-02-14,rep,MA,Democrat,https://neal.house.gov,372 Cannon House Office Building Washington DC 20515-2101,202-225-5601,
Norton,Eleanor,Holmes,,Eleanor Holmes Norton,1937-06-13,rep,DC,Democrat,https://norton.house.gov,2136 Rayburn House Office Building Washington DC 20515-5101,202-225-8050,
